Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-05-01","3,031","3,860","2.8","3","857","65","7","41","884"
"2018-05-02","4,164","11,708","8.45","5","501","173","26","86","2,168"
"2018-05-03","3,335","5,542","4.02","3","813","121","20","43","1,261"
"2018-05-04","3,100","3,492","2.54","7","788","89","20","31","988"
"2018-05-05","4,547","12,275","8.91","12","623","179","60","104","2,705"
"2018-05-06","3,562","6,070","4.41","12","733","140","16","55","1,479"
"2018-05-07","2,103","5,475","3.97","4","819","87","11","46","734"
"2018-05-08","2,201","5,758","4.18","2","821","71","22","69","870"
"2018-05-09","2,491","8,660","6.29","15","732","174","13","70","1,218"
"2018-05-10","2,758","9,911","7.2","7","634","151","27","104","1,486"
"2018-05-11","2,284","8,490","6.16","12","771","146","23","56","1,006"
"2018-05-12","2,679","13,187","9.63","8","570","178","45","88","1,526"
"2018-05-13","2,754","9,606","6.97","9","769","210","78","57","1,524"
"2018-05-14","2,245","11,190","8.12","8","722","119","18","68","996"
"2018-05-15","2,287","13,041","9.47","11","676","112","25","85","1,066"
"2018-05-16","1,976","7,072","5.13","5","743","87","19","45","701"
"2018-05-17","1,997","5,238","3.8","3","762","114","20","40","714"
"2018-05-18","1,830","3,528","2.56","8","774","85","0","21","463"
"2018-05-19","1,844","3,538","2.57","3","710","121","17","0","506"
"2018-05-20","1,944","4,204","3.05","3","870","101","10","22","560"
"2018-05-21","2,084","7,996","5.81","21","673","138","26","36","815"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2018-05-21 9:40PM","2018-05-22 7:08AM","356","205","5","568","N/A","N/A","N/A"
"2018-05-21 12:29AM","2018-05-21 7:36AM","312","107","3","427","N/A","N/A","N/A"
"2018-05-19 9:07PM","2018-05-20 7:17AM","398","204","3","610","N/A","N/A","N/A"
"2018-05-18 10:32PM","2018-05-19 6:59AM","344","163","4","507","N/A","N/A","N/A"
"2018-05-17 11:03PM","2018-05-18 7:52AM","379","150","5","529","N/A","N/A","N/A"
"2018-05-16 11:29PM","2018-05-17 6:56AM","385","62","18","447","58","291","36"
"2018-05-15 10:12PM","2018-05-16 7:49AM","407","128","7","577","N/A","N/A","N/A"
"2018-05-15 12:07AM","2018-05-15 7:22AM","402","33","16","435","71","304","27"
"2018-05-14 12:10AM","2018-05-14 8:43AM","471","42","17","513","104","320","47"
"2018-05-13 4:04AM","2018-05-13 9:30AM","297","29","14","326","26","221","50"
"2018-05-11 10:21PM","2018-05-12 7:40AM","495","64","19","559","38","415","42"
"2018-05-10 11:14PM","2018-05-11 7:24AM","309","168","4","490","N/A","N/A","N/A"
"2018-05-09 11:02PM","2018-05-10 7:59AM","369","134","5","537","N/A","N/A","N/A"
"2018-05-08 11:16PM","2018-05-09 6:33AM","343","88","3","437","N/A","N/A","N/A"
"2018-05-07 11:42PM","2018-05-08 6:53AM","338","93","6","431","N/A","N/A","N/A"
"2018-05-06 11:01PM","2018-05-07 7:39AM","380","128","5","518","N/A","N/A","N/A"
"2018-05-05 11:22PM","2018-05-06 7:17AM","347","118","3","475","N/A","N/A","N/A"
"2018-05-04 10:42PM","2018-05-05 7:17AM","376","128","4","515","N/A","N/A","N/A"
"2018-05-03 11:28PM","2018-05-04 7:14AM","341","125","3","466","N/A","N/A","N/A"
"2018-05-03 12:15AM","2018-05-03 7:06AM","355","56","20","411","40","303","12"
"2018-05-01 11:48PM","2018-05-02 10:54AM","517","149","5","666","N/A","N/A","N/A"
